iter	Passed	Remaining
0	0	89
1	1	76
2	2	73
3	2	66
4	3	63
5	3	61
6	4	60
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	53
13	8	53
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	13	46
23	14	46
24	15	45
25	15	44
26	16	44
27	18	46
28	19	46
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
